seed,model,pval_kupiec,pval_christoffersen_ind,pval_christoffersen_cc,pval_dq,pval_er,pval_cc,pval_esr_v1,pval_esr_v2,pval_esr_v3,pval_mcs,in_mcs
2,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.552,True
3,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.725,True
4,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.452,True
5,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.852,True
6,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.248,True
7,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.335,True
8,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.243,True
9,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.329,True
42,bekk_symmetric,0.2428716626058993,0.01091699580150539,0.0198150493486927,3.925878267807548e-06,0.931,1.0,0.18200083387213484,0.26995884626214006,0.9147093983252118,0.849,True
0,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.231,True
1,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.233,True
2,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.234,True
3,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.303,True
4,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.307,True
5,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.617,True
6,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.105,True
7,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.208,True
8,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.098,False
9,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.27,True
42,dcc,0.2428716626058993,0.01091699580150539,0.0198150493486927,2.2002405287713245e-06,0.916,1.0,0.44963934869609323,0.29475601148626107,0.8803966837274433,0.527,True
0,gru_normal,0.9338625169657003,0.07193618589473723,0.19738826013811153,0.0779555704319902,0.87,1.0,0.7730184341160016,0.8338223235840058,0.8630066454038196,0.372,True
1,gru_normal,0.6724123009394447,0.0541949487121868,0.1433109118254155,0.049076766998651045,0.744,1.0,0.6804279396897956,0.3735028504607929,0.8689251181490372,0.307,True
